date,코로나
2022-01-20,40
2022-01-21,39
2022-01-22,38
2022-01-23,40
2022-01-24,41
2022-01-25,58
2022-01-26,74
2022-01-27,60
2022-01-28,58
2022-01-29,49
2022-01-30,48
2022-01-31,38
2022-02-01,39
2022-02-02,65
2022-02-03,71
2022-02-04,68
2022-02-05,65
2022-02-06,64
2022-02-07,71
2022-02-08,65
2022-02-09,70
2022-02-10,67
2022-02-11,64
2022-02-12,52
2022-02-13,58
2022-02-14,61
2022-02-15,67
2022-02-16,84
2022-02-17,72
2022-02-18,69
2022-02-19,55
2022-02-20,56
2022-02-21,64
2022-02-22,65
2022-02-23,74
2022-02-24,66
2022-02-25,62
2022-02-26,55
2022-02-27,59
2022-02-28,65
2022-03-01,60
2022-03-02,75
2022-03-03,69
2022-03-04,70
2022-03-05,62
2022-03-06,71
2022-03-07,71
2022-03-08,70
2022-03-09,65
2022-03-10,72
2022-03-11,76
2022-03-12,72
2022-03-13,82
2022-03-14,92
2022-03-15,90
2022-03-16,100
2022-03-17,94
2022-03-18,73
2022-03-19,73
2022-03-20,74
2022-03-21,80
2022-03-22,78
2022-03-23,69
2022-03-24,69
2022-03-25,63
2022-03-26,56
2022-03-27,68
2022-03-28,65
2022-03-29,64
2022-03-30,61
2022-03-31,55
2022-04-01,56
2022-04-02,44
2022-04-03,56
2022-04-04,59
2022-04-05,51
2022-04-06,49
2022-04-07,49
2022-04-08,45
2022-04-09,40
2022-04-10,45
2022-04-11,46
2022-04-12,46
2022-04-13,41
2022-04-14,48
2022-04-15,45
2022-04-16,32
2022-04-17,35
2022-04-18,0
